idNode;index;label;level;mass;type;role;pointCount;contourLength1;contourLength2;subtreeCost;tsvNorm;refGraph
324;9;11;5;11;101;2;7;0;0;5;4.65369253920931;16
330;10;12;6;1;101;4;104;0;0;1;0;16
390;11;13;6;5;101;2;3;0;0;3;2.82842712474619;16
392;12;14;7;1;101;4;114;0;0;1;0;16
453;13;15;7;1;101;4;117;0;0;1;0;16
514;14;16;5;11;101;2;4;0;0;5;4.65369253920931;16
517;15;17;6;1;101;4;117;0;0;1;0;16
564;16;18;6;5;101;2;5;0;0;3;2.82842712474619;16
569;17;19;7;1;101;4;100;0;0;1;0;16
611;18;20;7;1;101;4;84;0;0;1;0;16
651;19;21;4;1;101;4;107;0;0;1;0;16
703;23;22;2;63;103;2;4;0;0;15;6.54339371958187;16
708;24;23;3;1;101;4;96;0;0;1;0;16
751;25;24;3;47;101;2;6;0;0;13;6.31446554668522;16
755;26;25;4;1;101;4;107;0;0;1;0;16
806;27;26;4;33;101;2;2;0;0;11;6.80014056687509;16
807;28;27;5;11;101;2;4;0;0;5;4.65369253920931;16
811;29;28;6;5;101;2;6;0;0;3;2.82842712474619;16
816;30;29;7;1;101;4;101;0;0;1;0;16
883;31;30;7;1;101;4;113;0;0;1;0;16
968;32;31;6;1;101;4;122;0;0;1;0;16
1059;33;32;5;11;101;2;5;0;0;5;4.65369253920931;16
1063;34;33;6;1;101;4;115;0;0;1;0;16
1129;35;34;6;5;101;2;5;0;0;3;2.82842712474619;16
1132;36;35;7;1;101;4;84;0;0;1;0;16
1179;37;36;7;1;101;4;98;0;0;1;0;16
1243;22;37;3;1;101;4;87;0;0;1;0;16
1300;0;#;0;211;105;1;0;0;0;38;10.1181161720324;16
50;18;1;6;1;101;4;59;0;0;1;0;17
72;17;2;5;5;101;2;3;0;0;3;2.82842712474619;17
76;16;3;4;11;101;2;21;0;0;5;4.65369253920931;17
90;15;4;3;19;101;2;10;0;0;7;5.52395992228424;17
92;14;5;2;29;101;2;5;0;0;9;5.96652786000311;17
99;1;6;1;93;104;2;5;0;0;25;11.8948584880053;17
102;2;7;2;29;103;2;6;0;0;9;5.96652786000311;17
111;3;8;3;1;101;4;15;0;0;1;0;17
118;4;9;3;19;101;2;4;0;0;7;5.52395992228424;17
123;5;10;4;11;101;2;29;0;0;5;4.65369253920931;17
148;6;11;5;1;101;4;70;0;0;1;0;17
204;7;12;5;5;101;2;7;0;0;3;2.82842712474619;17
209;8;13;6;1;101;4;56;0;0;1;0;17
237;9;14;6;1;101;4;69;0;0;1;0;17
285;10;15;4;1;101;4;106;0;0;1;0;17
351;11;16;2;5;101;2;14;0;0;3;2.82842712474619;17
368;12;17;3;1;101;4;111;0;0;1;0;17
420;13;18;3;1;101;4;105;0;0;1;0;17
477;23;19;2;5;101;2;11;0;0;3;2.82842712474619;17
487;24;20;3;1;101;4;116;0;0;1;0;17
538;25;21;3;1;101;4;117;0;0;1;0;17
591;22;22;3;1;101;4;15;0;0;1;0;17
595;21;23;4;1;101;4;112;0;0;1;0;17
641;20;24;5;1;101;4;85;0;0;1;0;17
684;19;25;6;1;101;4;70;0;0;1;0;17
717;0;#;0;119;105;1;0;0;0;26;9.74548618099604;17
51;21;1;4;1;101;4;51;0;0;1;0;18
67;16;2;4;11;101;2;14;0;0;5;4.65369253920931;18
79;17;3;5;1;101;4;102;0;0;1;0;18
146;18;4;5;5;101;2;18;0;0;3;2.82842712474619;18
163;19;5;6;1;101;4;86;0;0;1;0;18
223;20;6;6;1;101;4;85;0;0;1;0;18
270;15;7;3;19;101;2;9;0;0;7;5.52395992228424;18
277;22;8;3;1;101;4;116;0;0;1;0;18
355;14;9;2;29;101;2;7;0;0;9;5.96652786000311;18
361;23;10;2;1;101;4;109;0;0;1;0;18
412;1;11;1;95;104;2;8;0;0;23;11.1685133403729;18
419;2;12;2;1;101;4;101;0;0;1;0;18
475;3;13;2;41;103;2;8;0;0;11;6.21819283096709;18
481;4;14;3;1;101;4;92;0;0;1;0;18
522;5;15;3;29;101;2;8;0;0;9;5.96652786000311;18
527;6;16;4;1;101;4;90;0;0;1;0;18
